"x","y_1","y_2"
"1","0.0","0.0"
"2","0.0","0.0"
"3","0.0","0.0"
"4","0.0","0.0"
"5","0.0","0.0"
"6","1.2","2.0"
"7","1.8","3.3"
"8","3.7","4.3"
"9","5.2","6.3"
"10","6.2","8.0"
"11","8.8","11.0"
"12","11.2","14.7"
"13","13.7","17.7"
"14","16.0","21.0"
"15","21.0","27.0"
"16","24.8","33.0"
"17","31.5","42.3"
"18","34.5","47.0"
"19","39.8","54.0"
"20","48.3","64.3"
"21","53.5","72.3"
"22","53.5","71.3"
"23","62.5","84.3"
"24","66.2","89.7"
"25","72.8","99.0"
"26","70.0","95.3"
"27","72.8","97.7"
"28","76.2","103.0"
"29","74.7","98.7"
"30","70.8","95.3"
"31","67.2","90.7"
"32","64.5","87.0"
"33","57.0","78.0"
"34","55.7","75.0"
"35","45.3","62.7"
"36","41.2","56.0"
"37","37.0","49.7"
"38","28.3","37.7"
"39","23.5","32.3"
"40","22.2","29.0"
"41","16.5","22.3"
"42","12.5","17.7"
"43","11.0","15.7"
"44","7.3","9.7"
"45","6.0","8.7"
"46","4.3","5.3"
"47","1.8","3.7"
"48","1.5","3.0"
"49","1.2","2.3"
"50","0.5","1.0"
"51","0.0","0.0"
"52","0.0","0.0"
"53","0.0","0.0"
"54","0.0","0.0"
